timestamp,trial_id,controller,climate,workload,repeat,T_tank_hot,T_tank_mid,T_rad_in,T_rad_out,T_ambient,RH_ambient,heater_w_cmd,heater_w_meas,fan_pwm,fan_w,forecast_T,forecast_RH,bank_depth_cmd,water_event_flag,notes
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.005,30.705,30.505,28.005,25.0,45.0,60.0,,40.0,0.8,,,,0,warmup
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.013,30.713,30.513,28.013,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.016,30.716,30.516,28.016,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.02,30.72,30.52,28.02,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.023,30.723,30.523,28.023,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.026,30.726,30.526,28.026,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.029,30.729,30.529,28.029,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.032,30.732,30.532,28.032,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.035,30.735,30.535,28.035,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.038,30.738,30.538,28.038,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.042,30.742,30.542,28.042,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.045,30.745,30.545,28.045,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.048,30.748,30.548,28.048,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.051,30.751,30.551,28.051,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.054,30.754,30.554,28.054,25.0,45.0,60.0,,100.0,2.0,30.17,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.057,30.757,30.557,28.057,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.06,30.76,30.56,28.06,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.063,30.763,30.563,28.063,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.067,30.767,30.567,28.067,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.07,30.77,30.57,28.07,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.073,30.773,30.573,28.073,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.076,30.776,30.576,28.076,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.079,30.779,30.579,28.079,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.082,30.782,30.582,28.082,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.085,30.785,30.585,28.085,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.088,30.788,30.588,28.088,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.091,30.791,30.591,28.091,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.094,30.794,30.594,28.094,25.0,45.0,60.0,,100.0,2.0,30.18,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.097,30.797,30.597,28.097,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.101,30.801,30.601,28.101,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.104,30.804,30.604,28.104,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.11,30.81,30.61,28.11,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.113,30.813,30.613,28.113,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.116,30.816,30.616,28.116,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.119,30.819,30.619,28.119,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.122,30.822,30.622,28.122,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.125,30.825,30.625,28.125,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.128,30.828,30.628,28.128,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.131,30.831,30.631,28.131,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.134,30.834,30.634,28.134,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.137,30.837,30.637,28.137,25.0,45.0,60.0,,100.0,2.0,30.19,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.14,30.84,30.64,28.14,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.143,30.843,30.643,28.143,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.146,30.846,30.646,28.146,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.15,30.85,30.65,28.15,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.153,30.853,30.653,28.153,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.156,30.856,30.656,28.156,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.159,30.859,30.659,28.159,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.162,30.862,30.662,28.162,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.165,30.865,30.665,28.165,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.168,30.868,30.668,28.168,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.171,30.871,30.671,28.171,25.0,45.0,60.0,,100.0,2.0,30.2,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.174,30.874,30.674,28.174,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.177,30.877,30.677,28.177,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.18,30.88,30.68,28.18,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.183,30.883,30.683,28.183,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.186,30.886,30.686,28.186,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.189,30.889,30.689,28.189,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.192,30.892,30.692,28.192,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.195,30.895,30.695,28.195,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.198,30.898,30.698,28.198,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.204,30.904,30.704,28.204,25.0,45.0,60.0,,100.0,2.0,30.21,,,0,trial
2026-07-04T20:27:06,forecast_hot_humid_bursty_r2,forecast,hot_humid,bursty,2,31.207,30.907,30.707,28.207,25.0,45.0,60.0,,100.0,2.0,30.22,,,0,trial
